id_key;codigo_region;region;codigo_provincia;provincia;codigo_comuna;comuna;viviendas_particulares_con_moradores;red_publica;pozo_o_noria;camion_aljibe;rio_vertiente_lago;fuente_origen_agua_no_declarado
1;0;País;0;País;0;País;6408172;5914136;263309;131141;98243;1343
2;1;Tarapacá;11;Iquique;1101;Iquique;66444;65449;70;866;40;19
3;1;Tarapacá;11;Iquique;1107;Alto Hospicio;40506;31158;67;9257;20;4
4;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;5398;3711;792;795;98;2
5;1;Tarapacá;14;Del Tamarugal;1402;Camiña;479;140;44;7;288;0
6;1;Tarapacá;14;Del Tamarugal;1403;Colchane;241;200;4;13;23;1
7;1;Tarapacá;14;Del Tamarugal;1404;Huara;1009;582;108;89;230;0
8;1;Tarapacá;14;Del Tamarugal;1405;Pica;2025;1418;312;279;16;0
9;2;Antofagasta;21;Antofagasta;2101;Antofagasta;126861;123807;265;2639;120;30
10;2;Antofagasta;21;Antofagasta;2102;Mejillones;4358;4103;8;239;6;2
11;2;Antofagasta;21;Antofagasta;2103;Sierra Gorda;446;397;1;22;23;3
12;2;Antofagasta;21;Antofagasta;2104;Taltal;3987;3114;7;852;14;0
13;2;Antofagasta;22;El Loa;2201;Calama;52533;49842;69;2495;105;22
14;2;Antofagasta;22;El Loa;2202;Ollagüe;89;82;0;0;7;0
15;2;Antofagasta;22;El Loa;2203;San Pedro de Atacama;3690;2910;39;656;85;0
16;2;Antofagasta;23;Tocopilla;2301;Tocopilla;8517;7921;7;574;11;4
17;2;Antofagasta;23;Tocopilla;2302;María Elena;1584;1530;3;46;5;0
18;3;Atacama;31;Copiapó;3101;Copiapó;54970;49100;871;4931;59;9
19;3;Atacama;31;Copiapó;3102;Caldera;6775;5395;8;1365;6;1
20;3;Atacama;31;Copiapó;3103;Tierra Amarilla;3717;3070;191;427;27;2
21;3;Atacama;32;Chañaral;3201;Chañaral;4299;3910;2;374;10;3
22;3;Atacama;32;Chañaral;3202;Diego de Almagro;4089;3523;7;551;8;0
23;3;Atacama;33;Huasco;3301;Vallenar;18050;15584;223;1382;856;5
24;3;Atacama;33;Huasco;3302;Alto del Carmen;1885;1597;42;134;111;1
25;3;Atacama;33;Huasco;3303;Freirina;2679;2060;69;513;37;0
26;3;Atacama;33;Huasco;3304;Huasco;3397;2738;131;515;13;0
27;4;Coquimbo;41;Elqui;4101;La Serena;84117;77585;2443;3358;715;16
28;4;Coquimbo;41;Elqui;4102;Coquimbo;87438;80659;1964;4577;223;15
