id_key;codigo_region;region;codigo_provincia;provincia;codigo_comuna;comuna;grado_dificultad;dificultad_ver_incluso_lentes;dificultado_oir_incluso_audifonos;dificultad_caminar_subir_escalera;dificultad_recordar_concentrarse;deficultad_cuidado_personal;difultad_para_comunicarse
1;0;País;0;País;0;País;Total País;17609739;17609739;17609739;17609739;17609739;17609739
2;0;País;0;País;0;País;No, sin dificultad;13905057;16144858;15289715;15198358;16880403;17002154
3;0;País;0;País;0;País;Sí, algo de dificultad;2758800;964940;1307950;1808201;324960;307637
4;0;País;0;País;0;País;Sí, mucha dificultad;795335;357490;759016;424594;155590;127428
5;0;País;0;País;0;País;No puede hacerlo;51667;41580;149696;73643;146513;72283
6;0;País;0;País;0;País;No respuesta;98880;100871;103362;104943;102273;100237
7;15;Arica y Parinacota;151;Arica;15101;Arica;Total Comuna;228982;228982;228982;228982;228982;228982
8;15;Arica y Parinacota;151;Arica;15101;Arica;No, sin dificultad;180533;209613;200635;197620;219208;219820
9;15;Arica y Parinacota;151;Arica;15101;Arica;Sí, algo de dificultad;36217;12488;16371;23437;4251;4574
10;15;Arica y Parinacota;151;Arica;15101;Arica;Sí, mucha dificultad;9716;4432;8211;4999;1889;1729
11;15;Arica y Parinacota;151;Arica;15101;Arica;No puede hacerlo;683;586;1876;1005;1773;1004
12;15;Arica y Parinacota;151;Arica;15101;Arica;No respuesta;1833;1863;1889;1921;1861;1855
13;15;Arica y Parinacota;151;Arica;15102;Camarones;Total Comuna;835;835;835;835;835;835
14;15;Arica y Parinacota;151;Arica;15102;Camarones;No, sin dificultad;525;669;638;648;799;806
15;15;Arica y Parinacota;151;Arica;15102;Camarones;Sí, algo de dificultad;248;129;129;164;23;17
16;15;Arica y Parinacota;151;Arica;15102;Camarones;Sí, mucha dificultad;60;35;64;21;10;8
17;15;Arica y Parinacota;151;Arica;15102;Camarones;No puede hacerlo;1;1;3;1;2;3
18;15;Arica y Parinacota;151;Arica;15102;Camarones;No respuesta;1;1;1;1;1;1
19;15;Arica y Parinacota;152;Parinacota;15201;Putre;Total Comuna;1469;1469;1469;1469;1469;1469
20;15;Arica y Parinacota;152;Parinacota;15201;Putre;No, sin dificultad;1007;1254;1188;1100;1390;1345
21;15;Arica y Parinacota;152;Parinacota;15201;Putre;Sí, algo de dificultad;367;143;166;306;43;83
22;15;Arica y Parinacota;152;Parinacota;15201;Putre;Sí, mucha dificultad;80;56;89;46;16;21
23;15;Arica y Parinacota;152;Parinacota;15201;Putre;No puede hacerlo;3;4;13;5;8;8
24;15;Arica y Parinacota;152;Parinacota;15201;Putre;No respuesta;12;12;13;12;12;12
25;15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Total Comuna;464;464;464;464;464;464
26;15;Arica y Parinacota;152;Parinacota;15202;General Lagos;No, sin dificultad;272;365;320;314;410;409
27;15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Sí, algo de dificultad;155;71;93;122;44;45
28;15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Sí, mucha dificultad;34;27;44;25;6;9
29;15;Arica y Parinacota;152;Parinacota;15202;General Lagos;No puede hacerlo;2;0;6;2;3;0
30;15;Arica y Parinacota;152;Parinacota;15202;General Lagos;No respuesta;1;1;1;1;1;1
