id_key;codigo_region;regios;codigo_provincia;provincia;codigo_comuna;comuna;viviendas_ocupadas_modradores_presentes;parquet_pisoflotante_ceramico_madera_alfombra;radier_sin_revestimiento;baldosa_de_cemento;capa_cemento_sobre_tierra;tierra;material_piso_no_declarado
1;0;País;0;País;0;País;6.408.172;6.036.357;145.177;143.611;63.853;17.010;2.164
2;1;Tarapacá;11;Iquique;1101;Iquique;66.444;62.213;1.142;1.682;1.110;275;22
3;1;Tarapacá;11;Iquique;1107;Alto Hospicio;40.506;28.705;2.994;2.790;4.441;1.559;17
4;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;5.398;3.619;597;541;433;206;2
5;1;Tarapacá;14;Del Tamarugal;1402;Camiña;479;283;68;94;27;7;0
6;1;Tarapacá;14;Del Tamarugal;1403;Colchane;241;42;7;65;93;33;1
7;1;Tarapacá;14;Del Tamarugal;1404;Huara;1.009;511;104;129;182;83;0
8;1;Tarapacá;14;Del Tamarugal;1405;Pica;2.025;1.483;201;255;59;26;1
9;2;Antofagasta;21;Antofagasta;2101;Antofagasta;126.861;116.692;4.214;2.903;2.015;996;41
10;2;Antofagasta;21;Antofagasta;2102;Mejillones;4.358;3.775;210;149;179;42;3
11;2;Antofagasta;21;Antofagasta;2103;Sierra Gorda;446;389;26;9;14;7;1
12;2;Antofagasta;21;Antofagasta;2104;Taltal;3.987;3.221;140;256;251;118;1
13;2;Antofagasta;22;El Loa;2201;Calama;52.533;47.989;2.143;1.336;715;323;27
14;2;Antofagasta;22;El Loa;2202;Ollagüe;89;67;11;2;6;3;0
15;2;Antofagasta;22;El Loa;2203;San Pedro de Atacama;3.690;2.434;682;256;212;106;0
16;2;Antofagasta;23;Tocopilla;2301;Tocopilla;8.517;7.857;225;140;188;102;5
17;2;Antofagasta;23;Tocopilla;2302;María Elena;1.584;1.475;30;50;24;5;0
18;3;Atacama;31;Copiapó;3101;Copiapó;54.970;48.676;1.705;1.993;2.104;479;13
19;3;Atacama;31;Copiapó;3102;Caldera;6.775;5.878;369;252;207;68;1
20;3;Atacama;31;Copiapó;3103;Tierra Amarilla;3.717;3.128;96;249;207;34;3
21;3;Atacama;32;Chañaral;3201;Chañaral;4.299;3.874;169;131;83;40;2
22;3;Atacama;32;Chañaral;3202;Diego de Almagro;4.089;3.633;133;188;96;38;1
23;3;Atacama;33;Huasco;3301;Vallenar;18.050;14.733;939;1.201;911;261;5
24;3;Atacama;33;Huasco;3302;Alto del Carmen;1.885;1.007;264;233;273;108;0
25;3;Atacama;33;Huasco;3303;Freirina;2.679;1.994;199;245;178;60;3
26;3;Atacama;33;Huasco;3304;Huasco;3.397;2.815;214;138;163;67;0
