id_key;codigo_region;region;codigo_provincia;provincia;codigo_comuna;comuna;pais_o_continente_nacimiento;inmigrantes_internacionales
1;0;País;0;País;0;País;Total nacidos fuera del país;1608650
2;0;País;0;País;0;País;Argentina;70266
3;0;País;0;País;0;País;Bolivia (Estado Plurinacional de);168083
4;0;País;0;País;0;País;Colombia;197813
5;0;País;0;País;0;País;Haití;80781
6;0;País;0;País;0;País;Perú;233432
7;0;País;0;País;0;País;Venezuela (República Bolivariana de);669408
8;0;País;0;País;0;País;Otros países de América del Sur;78860
9;0;País;0;País;0;País;Otros países de América Central y El Caribe;40559
10;0;País;0;País;0;País;América del Norte;11329
11;0;País;0;País;0;País;Europa;33563
12;0;País;0;País;0;País;Asia;20047
13;0;País;0;País;0;País;África;1580
14;0;País;0;País;0;País;Oceanía;1477
15;0;País;0;País;0;País;País de nacimiento no declarado;1452
16;1;Tarapacá;11;Iquique;1101;Iquique;Total nacidos fuera del país;40655
17;1;Tarapacá;11;Iquique;1101;Iquique;Argentina;580
18;1;Tarapacá;11;Iquique;1101;Iquique;Bolivia (Estado Plurinacional de);17474
19;1;Tarapacá;11;Iquique;1101;Iquique;Colombia;2903
20;1;Tarapacá;11;Iquique;1101;Iquique;Haití;106
21;1;Tarapacá;11;Iquique;1101;Iquique;Perú;7642
22;1;Tarapacá;11;Iquique;1101;Iquique;Venezuela (República Bolivariana de);6977
23;1;Tarapacá;11;Iquique;1101;Iquique;Otros países de América del Sur;1833
24;1;Tarapacá;11;Iquique;1101;Iquique;Otros países de América Central y El Caribe;892
25;1;Tarapacá;11;Iquique;1101;Iquique;América del Norte;80
26;1;Tarapacá;11;Iquique;1101;Iquique;Europa;237
27;1;Tarapacá;11;Iquique;1101;Iquique;Asia;1840
28;1;Tarapacá;11;Iquique;1101;Iquique;África;0
29;1;Tarapacá;11;Iquique;1101;Iquique;Oceanía;0
30;1;Tarapacá;11;Iquique;1101;Iquique;País de nacimiento no declarado;53
31;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Total nacidos fuera del país;37628
32;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Argentina;330
33;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Bolivia (Estado Plurinacional de);20614
34;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Colombia;3150
35;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Haití;128
36;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Perú;7453
37;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Venezuela (República Bolivariana de);3728
38;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Otros países de América del Sur;1549
39;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Otros países de América Central y El Caribe;477
40;1;Tarapacá;11;Iquique;1107;Alto Hospicio;América del Norte;0
41;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Europa;64
42;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Asia;95
43;1;Tarapacá;11;Iquique;1107;Alto Hospicio;África;0
44;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Oceanía;0
45;1;Tarapacá;11;Iquique;1107;Alto Hospicio;País de nacimiento no declarado;7
46;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Total nacidos fuera del país;3695
47;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Argentina;0
48;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Bolivia (Estado Plurinacional de);2618
49;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Colombia;165
50;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Haití;0
51;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Perú;407
52;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Venezuela (República Bolivariana de);355
53;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Otros países de América del Sur;89
54;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Otros países de América Central y El Caribe;0
55;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;América del Norte;0
56;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Europa;0
57;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Asia;0
58;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;África;0
59;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Oceanía;0
60;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;País de nacimiento no declarado;1
61;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Total nacidos fuera del país;245
62;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Argentina;0
63;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Bolivia (Estado Plurinacional de);231
64;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Colombia;0
65;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Haití;0
66;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Perú;0
67;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Venezuela (República Bolivariana de);0
68;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Otros países de América del Sur;0
69;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Otros países de América Central y El Caribe;0
70;1;Tarapacá;14;Del Tamarugal;1402;Camiña;América del Norte;0
71;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Europa;0
72;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Asia;0
73;1;Tarapacá;14;Del Tamarugal;1402;Camiña;África;0
74;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Oceanía;0
75;1;Tarapacá;14;Del Tamarugal;1402;Camiña;País de nacimiento no declarado;0
76;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Total nacidos fuera del país;338
77;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Argentina;0
78;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Bolivia (Estado Plurinacional de);244
79;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Colombia;0
80;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Haití;0
81;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Perú;0
82;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Venezuela (República Bolivariana de);81
83;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Otros países de América del Sur;0
84;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Otros países de América Central y El Caribe;0
85;1;Tarapacá;14;Del Tamarugal;1403;Colchane;América del Norte;0
86;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Europa;0
87;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Asia;0
88;1;Tarapacá;14;Del Tamarugal;1403;Colchane;África;0
89;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Oceanía;0
90;1;Tarapacá;14;Del Tamarugal;1403;Colchane;País de nacimiento no declarado;0
91;1;Tarapacá;14;Del Tamarugal;1404;Huara;Total nacidos fuera del país;688
92;1;Tarapacá;14;Del Tamarugal;1404;Huara;Argentina;0
93;1;Tarapacá;14;Del Tamarugal;1404;Huara;Bolivia (Estado Plurinacional de);533
94;1;Tarapacá;14;Del Tamarugal;1404;Huara;Colombia;0
95;1;Tarapacá;14;Del Tamarugal;1404;Huara;Haití;0
96;1;Tarapacá;14;Del Tamarugal;1404;Huara;Perú;99
97;1;Tarapacá;14;Del Tamarugal;1404;Huara;Venezuela (República Bolivariana de);0
98;1;Tarapacá;14;Del Tamarugal;1404;Huara;Otros países de América del Sur;0
99;1;Tarapacá;14;Del Tamarugal;1404;Huara;Otros países de América Central y El Caribe;0
100;1;Tarapacá;14;Del Tamarugal;1404;Huara;América del Norte;0
101;1;Tarapacá;14;Del Tamarugal;1404;Huara;Europa;0
102;1;Tarapacá;14;Del Tamarugal;1404;Huara;Asia;0
103;1;Tarapacá;14;Del Tamarugal;1404;Huara;África;0
104;1;Tarapacá;14;Del Tamarugal;1404;Huara;Oceanía;0
105;1;Tarapacá;14;Del Tamarugal;1404;Huara;País de nacimiento no declarado;0
106;1;Tarapacá;14;Del Tamarugal;1405;Pica;Total nacidos fuera del país;1686
107;1;Tarapacá;14;Del Tamarugal;1405;Pica;Argentina;0
