id_key;cod_region;region;cod_provincia;provincia;cod_comuna;comuna;grupos_edad;poblacion_censada;hombres;mujeres;razon_h_vs_m
1;1;Tarapacá;11;Iquique;1101;Iquique;0 a 4;9967;5052;4915;102.8
2;1;Tarapacá;11;Iquique;1101;Iquique;5 a 9;13067;6565;6502;101
3;1;Tarapacá;11;Iquique;1101;Iquique;10 a 14;14561;7482;7079;105.7
4;1;Tarapacá;11;Iquique;1101;Iquique;15 a 19;12905;6664;6241;106.8
5;1;Tarapacá;11;Iquique;1101;Iquique;20 a 24;13227;6804;6423;105.9
6;1;Tarapacá;11;Iquique;1101;Iquique;25 a 29;16388;8211;8177;100.4
7;1;Tarapacá;11;Iquique;1101;Iquique;30 a 34;18187;9160;9027;101.5
8;1;Tarapacá;11;Iquique;1101;Iquique;35 a 39;16848;8309;8539;97.3
9;1;Tarapacá;11;Iquique;1101;Iquique;40 a 44;15421;7586;7835;96.8
10;1;Tarapacá;11;Iquique;1101;Iquique;45 a 49;12846;6361;6485;98.1
11;1;Tarapacá;11;Iquique;1101;Iquique;50 a 54;11805;5793;6012;96.4
12;1;Tarapacá;11;Iquique;1101;Iquique;55 a 59;10070;4878;5192;94
13;1;Tarapacá;11;Iquique;1101;Iquique;60 a 64;10067;4671;5396;86.6
14;1;Tarapacá;11;Iquique;1101;Iquique;65 a 69;8771;4179;4592;91
15;1;Tarapacá;11;Iquique;1101;Iquique;70 a 74;6423;2985;3438;86.8
16;1;Tarapacá;11;Iquique;1101;Iquique;75 a 79;4192;1908;2284;83.5
17;1;Tarapacá;11;Iquique;1101;Iquique;80 a 84;2555;1050;1505;69.8
18;1;Tarapacá;11;Iquique;1101;Iquique;85 o más;2287;755;1532;49.3
19;1;Tarapacá;11;Iquique;1107;Alto Hospicio;0 a 4;10367;5294;5073;104.4
20;1;Tarapacá;11;Iquique;1107;Alto Hospicio;5 a 9;12749;6437;6312;102
21;1;Tarapacá;11;Iquique;1107;Alto Hospicio;10 a 14;13048;6672;6376;104.6
22;1;Tarapacá;11;Iquique;1107;Alto Hospicio;15 a 19;12133;6297;5836;107.9
23;1;Tarapacá;11;Iquique;1107;Alto Hospicio;20 a 24;12308;6341;5967;106.3
24;1;Tarapacá;11;Iquique;1107;Alto Hospicio;25 a 29;12969;6433;6536;98.4
25;1;Tarapacá;11;Iquique;1107;Alto Hospicio;30 a 34;13204;6606;6598;100.1
26;1;Tarapacá;11;Iquique;1107;Alto Hospicio;35 a 39;11283;5542;5741;96.5
27;1;Tarapacá;11;Iquique;1107;Alto Hospicio;40 a 44;9736;4701;5035;93.4
28;1;Tarapacá;11;Iquique;1107;Alto Hospicio;45 a 49;7959;3834;4125;92.9
29;1;Tarapacá;11;Iquique;1107;Alto Hospicio;50 a 54;7330;3388;3942;85.9
30;1;Tarapacá;11;Iquique;1107;Alto Hospicio;55 a 59;6244;3026;3218;94
31;1;Tarapacá;11;Iquique;1107;Alto Hospicio;60 a 64;5050;2456;2594;94.7
32;1;Tarapacá;11;Iquique;1107;Alto Hospicio;65 a 69;3400;1682;1718;97.9
33;1;Tarapacá;11;Iquique;1107;Alto Hospicio;70 a 74;2033;986;1047;94.2
34;1;Tarapacá;11;Iquique;1107;Alto Hospicio;75 a 79;1206;520;686;75.8
35;1;Tarapacá;11;Iquique;1107;Alto Hospicio;80 a 84;650;284;366;77.6
36;1;Tarapacá;11;Iquique;1107;Alto Hospicio;85 o más;417;150;267;56.2
37;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;0 a 4;1155;592;563;105.2
38;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;5 a 9;1427;700;727;96.3
39;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;10 a 14;1471;718;753;95.4
40;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;15 a 19;1326;693;633;109.5
41;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;20 a 24;1338;742;596;124.5
42;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;25 a 29;1328;713;615;115.9
43;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;30 a 34;1328;681;647;105.3
44;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;35 a 39;1344;655;689;95.1
45;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;40 a 44;1152;608;544;111.8
46;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;45 a 49;903;438;465;94.2
47;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;50 a 54;880;439;441;99.5
48;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;55 a 59;764;399;365;109.3
49;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;60 a 64;753;402;351;114.5
50;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;65 a 69;675;359;316;113.6
51;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;70 a 74;447;243;204;119.1
52;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;75 a 79;300;148;152;97.4
53;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;80 a 84;168;83;85;97.6
54;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;85 o más;119;54;65;83.1
55;1;Tarapacá;14;Del Tamarugal;1402;Camiña;0 a 4;91;45;46;97.8
56;1;Tarapacá;14;Del Tamarugal;1402;Camiña;5 a 9;109;61;48;127.1
57;1;Tarapacá;14;Del Tamarugal;1402;Camiña;10 a 14;135;69;66;104.5
58;1;Tarapacá;14;Del Tamarugal;1402;Camiña;15 a 19;90;36;54;66.7
59;1;Tarapacá;14;Del Tamarugal;1402;Camiña;20 a 24;73;31;42;73.8
60;1;Tarapacá;14;Del Tamarugal;1402;Camiña;25 a 29;101;42;59;71.2
61;1;Tarapacá;14;Del Tamarugal;1402;Camiña;30 a 34;74;33;41;80.5
62;1;Tarapacá;14;Del Tamarugal;1402;Camiña;35 a 39;78;37;41;90.2
63;1;Tarapacá;14;Del Tamarugal;1402;Camiña;40 a 44;74;35;39;89.7
64;1;Tarapacá;14;Del Tamarugal;1402;Camiña;45 a 49;67;32;35;91.4
65;1;Tarapacá;14;Del Tamarugal;1402;Camiña;50 a 54;71;34;37;91.9
66;1;Tarapacá;14;Del Tamarugal;1402;Camiña;55 a 59;70;35;35;100
67;1;Tarapacá;14;Del Tamarugal;1402;Camiña;60 a 64;66;30;36;83.3
68;1;Tarapacá;14;Del Tamarugal;1402;Camiña;65 a 69;69;37;32;115.6
69;1;Tarapacá;14;Del Tamarugal;1402;Camiña;70 a 74;55;33;22;150
70;1;Tarapacá;14;Del Tamarugal;1402;Camiña;75 a 79;50;26;24;108.3
71;1;Tarapacá;14;Del Tamarugal;1402;Camiña;80 a 84;37;19;18;105.6
72;1;Tarapacá;14;Del Tamarugal;1402;Camiña;85 o más;25;13;12;108.3
73;1;Tarapacá;14;Del Tamarugal;1403;Colchane;0 a 4;70;29;41;70.7
74;1;Tarapacá;14;Del Tamarugal;1403;Colchane;5 a 9;63;29;34;85.3
75;1;Tarapacá;14;Del Tamarugal;1403;Colchane;10 a 14;61;33;28;117.9
