id_key;codigo_region;region;codigo_provincia;provincia;codigo_comuna;comuna;poblacion_que_se_considera_originaria;mapuche;aymara;rapa_nui;quechua;colla;diaguita;kawesqar;yagan;chango;selknam;otro;pueblo_no_declarado;atacameno_o_lickanntay
1;0;País;0;País;0;País;2105863 ;1623073 ;178637 ;6659 ;46519 ;21913 ;153231 ;2153 ;1244 ;11795 ;1392 ;20631 ;2395 ;36221 
2;1;Tarapacá;11;Iquique;1101;Iquique;33246 ;4937 ;18777 ;0 ;4088 ;353 ;3664 ;0 ;0 ;235 ;0 ;582 ;44 ;472 
3;1;Tarapacá;11;Iquique;1107;Alto Hospicio;41377 ;5303 ;25646 ;56 ;4752 ;343 ;4164 ;0 ;0 ;88 ;0 ;520 ;46 ;439 
4;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;7876 ;743 ;4880 ;0 ;774 ;61 ;1214 ;0 ;0 ;0 ;0 ;116 ;3 ;64 
5;1;Tarapacá;14;Del Tamarugal;1402;Camiña;1164 ;0 ;1054 ;0 ;89 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
6;1;Tarapacá;14;Del Tamarugal;1403;Colchane;631 ;0 ;546 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
7;1;Tarapacá;14;Del Tamarugal;1404;Huara;1886 ;57 ;1501 ;0 ;226 ;0 ;70 ;0 ;0 ;0 ;0 ;0 ;1 ;0 
8;1;Tarapacá;14;Del Tamarugal;1405;Pica;3807 ;145 ;2862 ;0 ;585 ;0 ;159 ;0 ;0 ;0 ;0 ;0 ;1 ;0 
9;2;Antofagasta;21;Antofagasta;2101;Antofagasta;31955 ;8539 ;7033 ;0 ;3288 ;465 ;6686 ;0 ;0 ;1198 ;0 ;822 ;76 ;3759 
10;2;Antofagasta;21;Antofagasta;2102;Mejillones;1517 ;425 ;263 ;0 ;181 ;0 ;209 ;0 ;0 ;270 ;0 ;69 ;7 ;69 
11;2;Antofagasta;21;Antofagasta;2103;Sierra Gorda;216 ;0 ;0 ;0 ;66 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
12;2;Antofagasta;21;Antofagasta;2104;Taltal;3098 ;263 ;67 ;0 ;0 ;51 ;388 ;0 ;0 ;2262 ;0 ;0 ;1 ;0 
13;2;Antofagasta;22;El Loa;2201;Calama;45461 ;3703 ;5237 ;0 ;10423 ;287 ;5931 ;0 ;0 ;68 ;0 ;389 ;53 ;19322 
14;2;Antofagasta;22;El Loa;2202;Ollagüe;201 ;0 ;0 ;0 ;182 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
15;2;Antofagasta;22;El Loa;2203;San Pedro de Atacama;6090 ;208 ;427 ;0 ;1076 ;0 ;97 ;0 ;0 ;0 ;0 ;0 ;0 ;4202 
16;2;Antofagasta;23;Tocopilla;2301;Tocopilla;2103 ;725 ;409 ;0 ;214 ;0 ;417 ;0 ;0 ;165 ;0 ;0 ;7 ;102 
17;2;Antofagasta;23;Tocopilla;2302;María Elena;639 ;137 ;291 ;0 ;68 ;0 ;86 ;0 ;0 ;0 ;0 ;0 ;3 ;0 
18;3;Atacama;31;Copiapó;3101;Copiapó;40091 ;5324 ;2637 ;0 ;1795 ;10825 ;18347 ;0 ;0 ;418 ;0 ;350 ;40 ;297 
19;3;Atacama;31;Copiapó;3102;Caldera;5403 ;863 ;156 ;0 ;0 ;929 ;2316 ;0 ;0 ;1000 ;0 ;0 ;4 ;52 
20;3;Atacama;31;Copiapó;3103;Tierra Amarilla;3744 ;499 ;90 ;0 ;52 ;2191 ;887 ;0 ;0 ;0 ;0 ;0 ;1 ;0 
21;3;Atacama;32;Chañaral;3201;Chañaral;1964 ;438 ;82 ;0 ;0 ;263 ;887 ;0 ;0 ;237 ;0 ;0 ;3 ;0 
22;3;Atacama;32;Chañaral;3202;Diego de Almagro;1739 ;311 ;92 ;0 ;0 ;549 ;718 ;0 ;0 ;0 ;0 ;0 ;1 ;0 
23;3;Atacama;33;Huasco;3301;Vallenar;16678 ;828 ;267 ;0 ;69 ;332 ;14741 ;0 ;0 ;127 ;0 ;107 ;14 ;178 
24;3;Atacama;33;Huasco;3302;Alto del Carmen;2895 ;0 ;0 ;0 ;0 ;0 ;2784 ;0 ;0 ;0 ;0 ;0 ;2 ;0 
25;3;Atacama;33;Huasco;3303;Freirina;2082 ;140 ;63 ;0 ;0 ;0 ;1625 ;0 ;0 ;169 ;0 ;0 ;1 ;0 
26;3;Atacama;33;Huasco;3304;Huasco;2020 ;314 ;142 ;0 ;0 ;111 ;1217 ;0 ;0 ;166 ;0 ;0 ;2 ;0 
