id_key;codigo_region;region;codigo_region;provincia;codigo_comuna;comuna;poblacion_15_anios_o_mas;catolica;evangelica_o_protestante;judia;musulmana;iglesia_de_los_santos_de_los_ultimos_dias;catolica_ortodoxa;budista;hinduista;fe_behai;testigos_de_jehova;otros_cristianos;otras_religiones_o_creadores;ninguna;religios_o_creador_no_declarado
1;cato;País;0;País;0;País;15205784;8168978;2466607;28153;10197;94266;10912;18221;4530;2010;121805;199426;89856;3903308;87515
2;1;Tarapacá;11;Iquique;1101;Iquique;161992;97841;15635;213;753;1174;0;383;386;0;1383;3182;646;38582;1664
3;1;Tarapacá;11;Iquique;1107;Alto Hospicio;105922;55976;19142;134;100;1013;0;75;0;0;990;2242;385;25090;698
4;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;12825;7037;2939;0;0;77;0;0;0;0;124;54;0;2431;80
5;1;Tarapacá;14;Del Tamarugal;1402;Camiña;1000;465;396;0;0;0;0;0;0;0;0;0;0;122;1
6;1;Tarapacá;14;Del Tamarugal;1403;Colchane;596;208;330;0;0;0;0;0;0;0;0;0;0;0;2
7;1;Tarapacá;14;Del Tamarugal;1404;Huara;2160;1314;473;0;0;0;0;0;0;0;0;0;0;298;15
8;1;Tarapacá;14;Del Tamarugal;1405;Pica;4779;3044;769;0;0;0;0;0;0;0;62;67;0;778;11
9;2;Antofagasta;21;Antofagasta;2101;Antofagasta;325286;177927;37833;445;195;2582;110;253;0;0;3212;6897;1151;92229;2337
10;2;Antofagasta;21;Antofagasta;2102;Mejillones;10738;6061;2093;0;0;69;0;0;0;0;81;166;0;2174;41
11;2;Antofagasta;21;Antofagasta;2103;Sierra Gorda;1107;745;88;0;0;0;0;0;0;0;0;0;0;218;10
12;2;Antofagasta;21;Antofagasta;2104;Taltal;9694;5317;1462;0;0;77;0;0;0;0;113;167;63;2406;50
13;2;Antofagasta;22;El Loa;2201;Calama;131544;83274;17794;194;107;978;102;98;0;0;1380;1568;262;24616;1141
14;2;Antofagasta;22;El Loa;2202;Ollagüe;208;156;0;0;0;0;0;0;0;0;0;0;0;0;0
15;2;Antofagasta;22;El Loa;2203;San Pedro de Atacama;7785;4708;872;0;0;0;0;0;0;0;71;68;62;1869;77
16;2;Antofagasta;23;Tocopilla;2301;Tocopilla;20218;11724;3234;0;0;180;0;0;0;0;318;288;0;4314;72
17;2;Antofagasta;23;Tocopilla;2302;María Elena;3884;2502;579;0;0;0;0;0;0;0;51;0;0;708;9
18;3;Atacama;31;Copiapó;3101;Copiapó;135290;79259;15450;159;68;1226;77;147;0;0;898;2082;466;34540;870
19;3;Atacama;31;Copiapó;3102;Caldera;15185;8180;2252;0;0;151;0;0;0;0;121;109;0;4163;100
20;3;Atacama;31;Copiapó;3103;Tierra Amarilla;9390;5617;1337;0;0;75;0;0;0;0;81;84;0;2134;21
21;3;Atacama;32;Chañaral;3201;Chañaral;9839;5992;1295;0;0;98;0;0;0;0;78;0;0;2233;55
22;3;Atacama;32;Chañaral;3202;Diego de Almagro;8985;4765;1381;0;0;0;0;0;0;0;128;0;0;2563;55
23;3;Atacama;33;Huasco;3301;Vallenar;43681;28070;5008;0;0;428;0;0;0;0;421;435;116;8800;273
24;3;Atacama;33;Huasco;3302;Alto del Carmen;4000;2979;301;0;0;0;0;0;0;0;52;0;0;611;8
25;3;Atacama;33;Huasco;3303;Freirina;6088;4229;424;0;0;0;0;0;0;0;75;55;0;1235;22
26;3;Atacama;33;Huasco;3304;Huasco;7619;4647;935;0;0;63;0;0;0;0;83;79;0;1698;64
27;4;Coquimbo;41;Elqui;4101;La Serena;204736;124052;15600;248;165;1375;182;305;0;0;2094;4829;822;53624;1315
28;4;Coquimbo;41;Elqui;4102;Coquimbo;212849;124677;20073;244;109;1203;116;251;0;0;2519;4668;696;57117;1106
