id_key;codigo_region;region;codigo_provincia;provincia;codigo_comuna;comuna;disponibilidad_equipo_o_servicio;movil;computador;tablet;internet_fija;internet_movil;internet_satelital
1;0;País;0;País;0;País;Sí;6475071;3621619;1645321;4250122;5734118;288473
2;0;País;0;País;0;País;No;119949;2964123;4939222;2338834;854837;6293135
3;0;País;0;País;0;País;Disponibilidad no declarada;1507;10785;11984;7571;7572;14919
4;1;Tarapacá;11;Iquique;1101;Iquique;Sí;68642;40337;20215;53580;62503;3144
5;1;Tarapacá;11;Iquique;1101;Iquique;No;1142;29362;49466;16149;7235;66508
6;1;Tarapacá;11;Iquique;1101;Iquique;Disponibilidad no declarada;16;101;119;71;62;148
7;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Sí;41480;18240;8492;25449;36583;2395
8;1;Tarapacá;11;Iquique;1107;Alto Hospicio;No;650;23851;33599;16656;5536;39697
9;1;Tarapacá;11;Iquique;1107;Alto Hospicio;Disponibilidad no declarada;20;59;59;45;31;58
10;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Sí;5468;2138;1062;2161;4805;372
11;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;No;140;3461;4536;3436;796;5228
12;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Disponibilidad no declarada;1;10;11;12;8;9
13;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Sí;465;120;45;25;364;10
14;1;Tarapacá;14;Del Tamarugal;1402;Camiña;No;24;369;444;464;125;479
15;1;Tarapacá;14;Del Tamarugal;1402;Camiña;Disponibilidad no declarada;0;0;0;0;0;0
16;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Sí;200;22;20;7;131;6
17;1;Tarapacá;14;Del Tamarugal;1403;Colchane;No;47;225;227;238;116;241
18;1;Tarapacá;14;Del Tamarugal;1403;Colchane;Disponibilidad no declarada;0;0;0;2;0;0
19;1;Tarapacá;14;Del Tamarugal;1404;Huara;Sí;978;275;138;99;826;44
20;1;Tarapacá;14;Del Tamarugal;1404;Huara;No;58;757;893;929;206;984
21;1;Tarapacá;14;Del Tamarugal;1404;Huara;Disponibilidad no declarada;0;4;5;8;4;8
22;1;Tarapacá;14;Del Tamarugal;1405;Pica;Sí;2134;869;573;679;1881;136
23;1;Tarapacá;14;Del Tamarugal;1405;Pica;No;46;1308;1605;1499;297;2039
24;1;Tarapacá;14;Del Tamarugal;1405;Pica;Disponibilidad no declarada;0;3;2;2;2;5
25;2;Antofagasta;21;Antofagasta;2101;Antofagasta;Sí;132406;81209;42523;105070;122463;5686
26;2;Antofagasta;21;Antofagasta;2101;Antofagasta;No;1615;52653;91315;28866;11438;128074
27;2;Antofagasta;21;Antofagasta;2101;Antofagasta;Disponibilidad no declarada;38;197;221;123;158;299
28;2;Antofagasta;21;Antofagasta;2102;Mejillones;Sí;4669;2162;1166;2948;4224;426
29;2;Antofagasta;21;Antofagasta;2102;Mejillones;No;71;2574;3569;1791;510;4309
